Fecha,ID,Gradient Clip Val,Hidden Size,Dropout,Hidden Continuous Size,Attention Head Size,Learning Rate,Loss Function,Epochs,Val Loss,Test MAE,Test MAPE,Test RMSE,Training Time (s)
2024-11-29 00:53:59,1,0.01,8,0.2,16,16,0.005,MAE,100,7676.0673828125,2678.569228591297,0.040719031233640963,3484.426256399752,2163.956983
2024-11-29 01:29:10,2,0.05,8,0.3,128,4,0.01,MAE,100,12723.3125,5030.879312663379,0.07669305968717305,6109.8734940388085,2108.73964
2024-11-29 02:04:35,3,0.03,32,0.3,64,4,0.005,MAE,100,17107.140625,4229.107547134459,0.06327737143058491,5532.77605629031,2123.052572
2024-11-29 02:40:14,4,0.05,8,0.1,64,4,0.01,MAE,100,14732.4287109375,4764.456233835407,0.07290603987411387,5744.771672050421,2136.872135
2024-11-29 03:18:04,5,0.01,32,0.3,128,16,0.005,MAE,100,14149.017578125,5831.741643977504,0.08681445423028436,7432.436076142029,2267.249766
2024-11-29 03:54:28,6,0.01,8,0.2,64,8,0.01,MAE,100,15142.7724609375,2432.283683291058,0.03741004156723231,3086.8328031858177,2181.837272
2024-11-29 04:30:33,7,0.05,32,0.1,64,4,0.03,MAE,100,11703.58203125,4694.212871373722,0.07059277087345128,5933.82360597746,2162.703878
2024-11-29 05:07:22,8,0.03,32,0.2,64,4,0.005,MAE,100,13653.14453125,5421.381460004662,0.08231924242082757,6867.980841982039,2205.867537
2024-11-29 05:44:27,9,0.03,8,0.1,16,16,0.01,MAE,100,11160.8828125,3017.5497426233796,0.04672582005658604,3977.4136502780857,2222.691389
2024-11-29 06:22:36,10,0.01,8,0.1,128,16,0.005,MAE,100,10868.60546875,3402.3943846974503,0.0514823543348917,4245.53295267821,2286.081701
2024-11-29 07:01:31,11,0.01,8,0.1,64,8,0.03,MAE,100,15175.6796875,6576.513079948965,0.09842148333241836,8711.959618023442,2332.299328
2024-11-29 07:38:33,12,0.05,8,0.3,128,8,0.01,MAE,100,13046.17578125,4010.8255608579266,0.06028635071596857,4953.230854701375,2218.679375
2024-11-29 10:42:28,13,0.03,8,0.3,16,8,0.01,MAE,300,13987.03515625,3023.1333540307246,0.04634008853626339,3780.391688099751,6169.312268
2024-11-29 12:27:19,14,0.05,8,0.1,16,8,0.005,MAE,300,14591.8125,5182.4566489150775,0.07914479608643381,6385.315103676542,6287.855069
2024-11-29 14:19:30,15,0.01,16,0.3,64,16,0.005,MAE,300,15366.888671875,5221.887622675894,0.07871388449358027,6671.855465973933,6729.217226
2024-11-29 16:12:06,16,0.01,8,0.2,16,8,0.03,MAE,300,14215.8974609375,3519.5245064230585,0.05466535553115403,4377.433350158836,6752.29388
